"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","source","Outlet_Years","Item_Type_New"
"FDG02",7.855,"Low Fat",0.011324862,"Canned",189.6188,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2285.0256,"train",6,"Food"
"NCZ18",7.825,"Low Fat",0.186357148,"Household",254.3698,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5580.7356,"train",14,"Non-Consumable"
"FDC29",8.39,"Regular",0.024205661,"Frozen Foods",114.0176,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2290.352,"train",16,"Food"
"FDQ10",12.85,"Low Fat",0.033230816,"Snack Foods",172.3422,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1207.0954,"train",14,"Food"
"FDN48",13.35,"Low Fat",0.113720344,"Baking Goods",89.9804,"OUT019",1985,"Small","Tier 1","Grocery Store",643.1628,"train",28,"Food"
"FDL04",19,"Low Fat",0.112556507,"Frozen Foods",104.9622,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1587.933,"train",6,"Food"
"FDV25",5.905,"Low Fat",0.0444,"Canned",222.5456,"OUT045",2002,"Small","Tier 2","Supermarket Type1",5305.0944,"train",11,"Food"
"FDD58",7.76,"Low Fat",0.059352241,"Snack Foods",101.87,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1697.79,"train",16,"Food"
"FDN04",11.8,"Regular",0.014087057,"Frozen Foods",180.3344,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1427.4752,"train",16,"Food"
"FDV45",16.75,"Low Fat",0.045230944,"Snack Foods",187.9556,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",4693.89,"train",4,"Food"
"NCL18",18.85,"Low Fat",0.293417759,"Household",194.6136,"OUT019",1985,"Small","Tier 1","Grocery Store",583.2408,"train",28,"Non-Consumable"
"FDR12",12.6,"Regular",0.031382044,"Baking Goods",171.3764,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3091.9752,"train",28,"Food"
"FDG20",15.5,"Regular",0.12639886,"Fruits and Vegetables",177.0028,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2479.4392,"train",6,"Food"
"FDZ55",6.055,"Low Fat",0.025403898,"Fruits and Vegetables",160.992,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2716.464,"train",9,"Food"
"FDQ49",20.2,"Regular",0.039057677,"Breakfast",155.963,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",3285.723,"train",28,"Food"
"FDN33",6.305,"Regular",0.123115764,"Snack Foods",95.6436,"OUT046",1997,"Small","Tier 1","Supermarket Type1",661.8052,"train",16,"Food"
"FDN27",20.85,"Low Fat",0.039624006,"Meat",117.2808,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1523.3504,"train",14,"Food"
"FDW20",20.75,"Low Fat",0.040421193,"Fruits and Vegetables",122.173,"OUT010",1998,"Small","Tier 3","Grocery Store",369.519,"train",15,"Food"
"DRG27",8.895,"Low Fat",0.105274111,"Dairy",39.9138,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",690.4346,"train",14,"Drinks"
"DRI25",19.6,"Low Fat",0.033970195,"Soft Drinks",55.1614,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1381.535,"train",11,"Drinks"
"FDA44",19.7,"Low Fat",0.053212652,"Fruits and Vegetables",57.893,"OUT035",2004,"Small","Tier 2","Supermarket Type1",622.523,"train",9,"Food"
"NCR17",9.8,"Low Fat",0.024378706,"Health and Hygiene",114.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1274.3412,"train",9,"Non-Consumable"
"FDU04",7.93,"Low Fat",0.009714595,"Frozen Foods",120.0414,"OUT019",1985,"Small","Tier 1","Grocery Store",487.3656,"train",28,"Food"
"FDF41",12.15,"Low Fat",0.131383762,"Frozen Foods",246.046,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1231.73,"train",14,"Food"
"FDB56",8.75,"Regular",0.07461309,"Fruits and Vegetables",187.4556,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3755.112,"train",9,"Food"
"NCP18",12.15,"Low Fat",0.028459761,"Household",149.9708,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4363.6532,"train",28,"Non-Consumable"
"FDB56",8.75,"Regular",0.074627201,"Fruits and Vegetables",187.8556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1314.2892,"train",16,"Food"
"FDT28",13.3,"Low Fat",0.063695084,"Frozen Foods",151.0708,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1805.6496,"train",11,"Food"
"FDD10",20.6,"Regular",0.045797829,"Snack Foods",178.5344,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",2854.9504,"train",28,"Food"
"FDW57",8.31,"Regular",0.115857223,"Snack Foods",179.1028,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3896.2616,"train",14,"Food"
"DRB48",16.75,"Regular",0.024832806,"Soft Drinks",38.7822,"OUT013",1987,"High","Tier 3","Supermarket Type1",667.7974,"train",26,"Drinks"
"FDP09",19.75,"Low Fat",0.034027909,"Snack Foods",212.0902,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3185.853,"train",4,"Food"
"FDH14",17.1,"Regular",0.0467696,"Canned",141.1838,"OUT013",1987,"High","Tier 3","Supermarket Type1",2247.7408,"train",26,"Food"
"FDA47",10.5,"Regular",0.116576702,"Baking Goods",163.121,"OUT013",1987,"High","Tier 3","Supermarket Type1",1794.331,"train",26,"Food"
"FDG12",6.635,"Regular",0.0049,"Baking Goods",121.3098,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2530.7058,"train",11,"Food"
"DRE60",9.395,"Low Fat",0.278974075,"Soft Drinks",225.372,"OUT019",1985,"Small","Tier 1","Grocery Store",679.116,"train",28,"Drinks"
"DRK49",14.15,"Low Fat",0.035913805,"Soft Drinks",41.4138,"OUT013",1987,"High","Tier 3","Supermarket Type1",812.276,"train",26,"Drinks"
"FDD03",13.3,"Low Fat",0.079806266,"Dairy",232.53,"OUT046",1997,"Small","Tier 1","Supermarket Type1",699.09,"train",16,"Food"
"FDS52",8.89,"Low Fat",0.005505481,"Frozen Foods",102.4016,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2732.4432,"train",6,"Food"
"FDW39",6.69,"Regular",0.064625342,"Meat",176.937,"OUT019",1985,"Small","Tier 1","Grocery Store",176.437,"train",28,"Food"
"FDX34",6.195,"Low Fat",0.071636937,"Snack Foods",121.7098,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",4097.3332,"train",28,"Food"
"FDV11",9.1,"Regular",0.0784,"Breads",173.2054,"OUT045",2002,"Small","Tier 2","Supermarket Type1",3151.8972,"train",11,"Food"
"FDD17",7.5,"Low Fat",0.032677678,"Frozen Foods",239.0906,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",5942.265,"train",14,"Food"
"FDZ16",16.85,"Regular",0.160760054,"Frozen Foods",192.4478,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4843.695,"train",6,"Food"
"FDZ46",7.485,"Low Fat",0.06911065,"Snack Foods",109.0228,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2542.0244,"train",9,"Food"
"DRA12",11.6,"Low Fat",0.041177505,"Soft Drinks",140.3154,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2552.6772,"train",6,"Drinks"
"FDY58",11.65,"Low Fat",0.040081193,"Snack Foods",227.0694,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1141.847,"train",4,"Food"
"NCF19",13,"Low Fat",0.035307322,"Household",47.5034,"OUT017",2007,"Small","Tier 2","Supermarket Type1",680.4476,"train",6,"Non-Consumable"
"DRJ13",12.65,"Low Fat",0.063017847,"Soft Drinks",159.0578,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2085.9514,"train",11,"Drinks"
"FDB14",20.25,"Regular",0.171938781,"Canned",92.512,"OUT010",1998,"Small","Tier 3","Grocery Store",186.424,"train",15,"Food"
"FDJ38",8.6,"Regular",0.040197932,"Canned",190.153,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3036.048,"train",9,"Food"
"FDW11",12.6,"Low Fat",0.049058014,"Breads",62.7194,"OUT017",2007,"Small","Tier 2","Supermarket Type1",866.8716,"train",6,"Food"
"FDL40",17.7,"Low Fat",0.01161096,"Frozen Foods",95.041,"OUT035",2004,"Small","Tier 2","Supermarket Type1",868.869,"train",9,"Food"
"DRI49",14.15,"Low Fat",0.183507295,"Soft Drinks",82.4276,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1137.1864,"train",16,"Drinks"
"FDV38",19.25,"Low Fat",0.102349519,"Dairy",52.7956,"OUT017",2007,"Small","Tier 2","Supermarket Type1",928.1252,"train",6,"Food"
"DRG23",8.88,"Low Fat",0.086708987,"Hard Drinks",151.7682,"OUT013",1987,"High","Tier 3","Supermarket Type1",762.341,"train",26,"Drinks"
"NCP30",20.5,"Low Fat",0.032835147,"Household",40.2822,"OUT045",2002,"Small","Tier 2","Supermarket Type1",707.0796,"train",11,"Non-Consumable"
"FDY25",12,"Low Fat",0.033809913,"Canned",180.5976,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",7968.2944,"train",28,"Food"
"NCH54",13.5,"Low Fat",0.07266912,"Household",160.292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1438.128,"train",16,"Non-Consumable"
"NCR53",12.15,"Low Fat",0.144338493,"Health and Hygiene",224.4404,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",6976.2524,"train",28,"Non-Consumable"
"FDS52",8.89,"Low Fat",0.009163216,"Frozen Foods",101.7016,"OUT010",1998,"Small","Tier 3","Grocery Store",101.2016,"train",15,"Food"
"FDG02",7.855,"Low Fat",0.011307038,"Canned",188.5188,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",952.094,"train",4,"Food"
"NCO26",7.235,"Low Fat",0.076855628,"Household",116.0492,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1969.4364,"train",16,"Non-Consumable"
"FDH35",18.25,"Low Fat",0.059956876,"Starchy Foods",165.4526,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5262.4832,"train",28,"Food"
"FDB51",6.92,"Low Fat",0.038532062,"Dairy",60.5852,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1314.2892,"train",11,"Food"
"FDX44",9.3,"Low Fat",0.043209581,"Fruits and Vegetables",90.8172,"OUT017",2007,"Small","Tier 2","Supermarket Type1",535.3032,"train",6,"Food"
"NCN07",18.5,"Low Fat",0.056816465,"Others",132.1284,"OUT010",1998,"Small","Tier 3","Grocery Store",263.6568,"train",15,"Non-Consumable"
"NCC31",8.02,"Low Fat",0.019866705,"Household",154.5972,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1402.1748,"train",9,"Non-Consumable"
"NCX54",9.195,"Low Fat",0.048331717,"Household",105.1622,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1693.7952,"train",6,"Non-Consumable"
"NCO55",12.8,"Low Fat",0.091221855,"Others",105.5938,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2143.876,"train",11,"Non-Consumable"
"NCC30",16.6,"Low Fat",0.027622076,"Household",177.6344,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2676.516,"train",14,"Non-Consumable"
"FDI16",14,"Regular",0.1416,"Frozen Foods",53.064,"OUT035",2004,"Small","Tier 2","Supermarket Type1",905.488,"train",9,"Food"
"FDP16",18.6,"Low Fat",0.039355947,"Frozen Foods",246.3802,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",7370.406,"train",14,"Food"
"FDB11",16,"Low Fat",0.060836524,"Starchy Foods",226.8404,"OUT035",2004,"Small","Tier 2","Supermarket Type1",6301.1312,"train",9,"Food"
"NCB06",17.6,"Low Fat",0.082316506,"Health and Hygiene",160.692,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1597.92,"train",9,"Non-Consumable"
"FDA45",21.25,"Low Fat",0.155350299,"Snack Foods",178.237,"OUT035",2004,"Small","Tier 2","Supermarket Type1",529.311,"train",9,"Food"
"NCO26",7.235,"Low Fat",0.076841095,"Household",117.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1969.4364,"train",9,"Non-Consumable"
"DRJ25",14.6,"Low Fat",0.151419185,"Soft Drinks",50.3692,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1034.6532,"train",6,"Drinks"
"FDR28",13.85,"Regular",0.026001976,"Frozen Foods",161.521,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1794.331,"train",4,"Food"
"FDI04",13.65,"Regular",0.073209447,"Frozen Foods",197.6426,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2768.3964,"train",4,"Food"
"DRK12",9.5,"Low Fat",0.041683481,"Soft Drinks",31.29,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",898.83,"train",28,"Drinks"
"FDX20",7.365,"Low Fat",0.042560252,"Fruits and Vegetables",226.172,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3169.208,"train",16,"Food"
"NCI18",18.35,"Low Fat",0.014081156,"Household",223.5746,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3589.9936,"train",4,"Non-Consumable"
"FDB36",5.465,"Regular",0.0303,"Baking Goods",132.5626,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",262.3252,"train",4,"Food"
"FDN13",18.6,"Low Fat",0.152918384,"Breakfast",99.8358,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1910.1802,"train",6,"Food"
"DRD24",13.85,"Low Fat",0.030969274,"Soft Drinks",140.9154,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1701.7848,"train",6,"Drinks"
"FDQ28",14,"Regular",0.060376776,"Frozen Foods",154.5656,"OUT013",1987,"High","Tier 3","Supermarket Type1",2471.4496,"train",26,"Food"
"FDM22",14,"Regular",0.04192285,"Snack Foods",54.764,"OUT013",1987,"High","Tier 3","Supermarket Type1",1331.6,"train",26,"Food"
"FDR07",21.35,"Low Fat",0.077367431,"Fruits and Vegetables",97.0094,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",1808.9786,"train",28,"Food"
"FDV25",5.905,"Low Fat",0.045838211,"Canned",222.5456,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3315.684,"train",4,"Food"
"DRF49",7.27,"Low Fat",0.071077939,"Soft Drinks",114.2518,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2618.5914,"train",16,"Drinks"
"FDW51",6.155,"Regular",0.094659871,"Meat",214.556,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2769.728,"train",16,"Food"
"DRL01",19.5,"Regular",0.077608838,"Soft Drinks",233.4958,"OUT017",2007,"Small","Tier 2","Supermarket Type1",5375.0034,"train",6,"Drinks"
"FDP25",15.2,"Low Fat",0.021327477,"Canned",216.8824,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2838.9712,"train",6,"Food"
"FDL50",12.15,"Regular",0.042485444,"Canned",125.0046,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1743.0644,"train",4,"Food"
"NCB30",14.6,"Low Fat",0.025578526,"Household",198.8084,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",5555.4352,"train",28,"Non-Consumable"
"FDW11",12.6,"Low Fat",0.0489808,"Breads",61.9194,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",619.194,"train",4,"Food"
"NCM43",14.5,"Low Fat",0.019471688,"Others",164.821,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2120.573,"train",9,"Non-Consumable"
"FDK44",16.6,"Low Fat",0.122918852,"Fruits and Vegetables",173.0738,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3823.0236,"train",6,"Food"
"FDM15",11.8,"Regular",0.057373797,"Meat",151.4366,"OUT013",1987,"High","Tier 3","Supermarket Type1",1360.2294,"train",26,"Food"
