"Item_Weight","Item_Fat_Content_Low Fat","Item_Fat_Content_Regular","Item_Visibility","Item_MRP","Outlet_Size_High","Outlet_Size_Medium","Outlet_Size_Small","Outlet_Location_Type_Tier 1","Outlet_Location_Type_Tier 2","Outlet_Location_Type_Tier 3","Outlet_Type_Grocery Store","Outlet_Type_Supermarket Type1","Outlet_Type_Supermarket Type2","Outlet_Type_Supermarket Type3","Outlet_Years","Item_Outlet_Sales"
20.85,1,0,0.039624006,117.2808,0,1,0,1,0,0,0,1,0,0,14,1523.3504
20.75,1,0,0.040421193,122.173,0,0,1,0,0,1,1,0,0,0,15,369.519
8.895,1,0,0.105274111,39.9138,0,1,0,1,0,0,0,1,0,0,14,690.4346
19.6,1,0,0.033970195,55.1614,0,0,1,0,1,0,0,1,0,0,11,1381.535
19.7,1,0,0.053212652,57.893,0,0,1,0,1,0,0,1,0,0,9,622.523
9.8,1,0,0.024378706,114.5492,0,0,1,0,1,0,0,1,0,0,9,1274.3412
7.93,1,0,0.009714595,120.0414,0,0,1,1,0,0,1,0,0,0,28,487.3656
12.15,1,0,0.131383762,246.046,0,1,0,1,0,0,0,1,0,0,14,1231.73
8.75,0,1,0.07461309,187.4556,0,0,1,0,1,0,0,1,0,0,9,3755.112
12.15,1,0,0.028459761,149.9708,0,1,0,0,0,1,0,0,0,1,28,4363.6532
8.75,0,1,0.074627201,187.8556,0,0,1,1,0,0,0,1,0,0,16,1314.2892
13.3,1,0,0.063695084,151.0708,0,0,1,0,1,0,0,1,0,0,11,1805.6496
20.6,0,1,0.045797829,178.5344,0,1,0,0,0,1,0,0,0,1,28,2854.9504
8.31,0,1,0.115857223,179.1028,0,1,0,1,0,0,0,1,0,0,14,3896.2616
16.75,0,1,0.024832806,38.7822,1,0,0,0,0,1,0,1,0,0,26,667.7974
19.75,1,0,0.034027909,212.0902,0,1,0,0,0,1,0,0,1,0,4,3185.853
17.1,0,1,0.0467696,141.1838,1,0,0,0,0,1,0,1,0,0,26,2247.7408
10.5,0,1,0.116576702,163.121,1,0,0,0,0,1,0,1,0,0,26,1794.331
6.635,0,1,0.0049,121.3098,0,0,1,0,1,0,0,1,0,0,11,2530.7058
9.395,1,0,0.278974075,225.372,0,0,1,1,0,0,1,0,0,0,28,679.116
14.15,1,0,0.035913805,41.4138,1,0,0,0,0,1,0,1,0,0,26,812.276
13.3,1,0,0.079806266,232.53,0,0,1,1,0,0,0,1,0,0,16,699.09
8.89,1,0,0.005505481,102.4016,0,0,1,0,1,0,0,1,0,0,6,2732.4432
6.69,0,1,0.064625342,176.937,0,0,1,1,0,0,1,0,0,0,28,176.437
6.195,1,0,0.071636937,121.7098,0,1,0,0,0,1,0,0,0,1,28,4097.3332
9.1,0,1,0.0784,173.2054,0,0,1,0,1,0,0,1,0,0,11,3151.8972
7.5,1,0,0.032677678,239.0906,0,1,0,1,0,0,0,1,0,0,14,5942.265
16.85,0,1,0.160760054,192.4478,0,0,1,0,1,0,0,1,0,0,6,4843.695
7.485,1,0,0.06911065,109.0228,0,0,1,0,1,0,0,1,0,0,9,2542.0244
11.6,1,0,0.041177505,140.3154,0,0,1,0,1,0,0,1,0,0,6,2552.6772
11.65,1,0,0.040081193,227.0694,0,1,0,0,0,1,0,0,1,0,4,1141.847
13,1,0,0.035307322,47.5034,0,0,1,0,1,0,0,1,0,0,6,680.4476
12.65,1,0,0.063017847,159.0578,0,0,1,0,1,0,0,1,0,0,11,2085.9514
20.25,0,1,0.171938781,92.512,0,0,1,0,0,1,1,0,0,0,15,186.424
8.6,0,1,0.040197932,190.153,0,0,1,0,1,0,0,1,0,0,9,3036.048
12.6,1,0,0.049058014,62.7194,0,0,1,0,1,0,0,1,0,0,6,866.8716
17.7,1,0,0.01161096,95.041,0,0,1,0,1,0,0,1,0,0,9,868.869
14.15,1,0,0.183507295,82.4276,0,0,1,1,0,0,0,1,0,0,16,1137.1864
19.25,1,0,0.102349519,52.7956,0,0,1,0,1,0,0,1,0,0,6,928.1252
8.88,1,0,0.086708987,151.7682,1,0,0,0,0,1,0,1,0,0,26,762.341
20.5,1,0,0.032835147,40.2822,0,0,1,0,1,0,0,1,0,0,11,707.0796
12,1,0,0.033809913,180.5976,0,1,0,0,0,1,0,0,0,1,28,7968.2944
13.5,1,0,0.07266912,160.292,0,0,1,1,0,0,0,1,0,0,16,1438.128
12.15,1,0,0.144338493,224.4404,0,1,0,0,0,1,0,0,0,1,28,6976.2524
8.89,1,0,0.009163216,101.7016,0,0,1,0,0,1,1,0,0,0,15,101.2016
7.855,1,0,0.011307038,188.5188,0,1,0,0,0,1,0,0,1,0,4,952.094
7.235,1,0,0.076855628,116.0492,0,0,1,1,0,0,0,1,0,0,16,1969.4364
18.25,1,0,0.059956876,165.4526,0,1,0,0,0,1,0,0,0,1,28,5262.4832
6.92,1,0,0.038532062,60.5852,0,0,1,0,1,0,0,1,0,0,11,1314.2892
9.3,1,0,0.043209581,90.8172,0,0,1,0,1,0,0,1,0,0,6,535.3032
18.5,1,0,0.056816465,132.1284,0,0,1,0,0,1,1,0,0,0,15,263.6568
8.02,1,0,0.019866705,154.5972,0,0,1,0,1,0,0,1,0,0,9,1402.1748
9.195,1,0,0.048331717,105.1622,0,0,1,0,1,0,0,1,0,0,6,1693.7952
12.8,1,0,0.091221855,105.5938,0,0,1,0,1,0,0,1,0,0,11,2143.876
16.6,1,0,0.027622076,177.6344,0,1,0,1,0,0,0,1,0,0,14,2676.516
14,0,1,0.1416,53.064,0,0,1,0,1,0,0,1,0,0,9,905.488
18.6,1,0,0.039355947,246.3802,0,1,0,1,0,0,0,1,0,0,14,7370.406
16,1,0,0.060836524,226.8404,0,0,1,0,1,0,0,1,0,0,9,6301.1312
17.6,1,0,0.082316506,160.692,0,0,1,0,1,0,0,1,0,0,9,1597.92
21.25,1,0,0.155350299,178.237,0,0,1,0,1,0,0,1,0,0,9,529.311
7.235,1,0,0.076841095,117.5492,0,0,1,0,1,0,0,1,0,0,9,1969.4364
14.6,1,0,0.151419185,50.3692,0,0,1,0,1,0,0,1,0,0,6,1034.6532
13.85,0,1,0.026001976,161.521,0,1,0,0,0,1,0,0,1,0,4,1794.331
13.65,0,1,0.073209447,197.6426,0,1,0,0,0,1,0,0,1,0,4,2768.3964
9.5,1,0,0.041683481,31.29,0,1,0,0,0,1,0,0,0,1,28,898.83
7.365,1,0,0.042560252,226.172,0,0,1,1,0,0,0,1,0,0,16,3169.208
18.35,1,0,0.014081156,223.5746,0,1,0,0,0,1,0,0,1,0,4,3589.9936
5.465,0,1,0.0303,132.5626,0,1,0,0,0,1,0,0,1,0,4,262.3252
18.6,1,0,0.152918384,99.8358,0,0,1,0,1,0,0,1,0,0,6,1910.1802
13.85,1,0,0.030969274,140.9154,0,0,1,0,1,0,0,1,0,0,6,1701.7848
14,0,1,0.060376776,154.5656,1,0,0,0,0,1,0,1,0,0,26,2471.4496
14,0,1,0.04192285,54.764,1,0,0,0,0,1,0,1,0,0,26,1331.6
21.35,1,0,0.077367431,97.0094,0,1,0,0,0,1,0,0,0,1,28,1808.9786
5.905,1,0,0.045838211,222.5456,0,1,0,0,0,1,0,0,1,0,4,3315.684
7.27,1,0,0.071077939,114.2518,0,0,1,1,0,0,0,1,0,0,16,2618.5914
6.155,0,1,0.094659871,214.556,0,0,1,1,0,0,0,1,0,0,16,2769.728
19.5,0,1,0.077608838,233.4958,0,0,1,0,1,0,0,1,0,0,6,5375.0034
15.2,1,0,0.021327477,216.8824,0,0,1,0,1,0,0,1,0,0,6,2838.9712
12.15,0,1,0.042485444,125.0046,0,1,0,0,0,1,0,0,1,0,4,1743.0644
14.6,1,0,0.025578526,198.8084,0,1,0,0,0,1,0,0,0,1,28,5555.4352
12.6,1,0,0.0489808,61.9194,0,1,0,0,0,1,0,0,1,0,4,619.194
14.5,1,0,0.019471688,164.821,0,0,1,0,1,0,0,1,0,0,9,2120.573
16.6,1,0,0.122918852,173.0738,0,0,1,0,1,0,0,1,0,0,6,3823.0236
11.8,0,1,0.057373797,151.4366,1,0,0,0,0,1,0,1,0,0,26,1360.2294
13.1,0,1,0.044155597,178.8318,1,0,0,0,0,1,0,1,0,0,26,3969.4996
17.7,1,0,0.291865402,115.1834,0,0,1,0,0,1,1,0,0,0,15,345.5502
17.85,1,0,0.0854,196.5794,0,0,1,0,0,1,1,0,0,0,15,585.2382
12.3,0,1,0.064750025,92.6804,0,0,1,0,1,0,0,1,0,0,11,1010.6844
11.8,1,0,0.098312421,81.4618,0,0,1,0,0,1,1,0,0,0,15,161.1236
9.395,0,1,0.191013663,42.1112,0,0,1,1,0,0,1,0,0,0,28,42.6112
11.1,1,0,0.176573035,157.4604,0,0,1,0,1,0,0,1,0,0,11,3010.7476
14,0,1,0.060134441,153.0656,0,1,0,0,0,1,0,0,0,1,28,6024.1584
11.3,1,0,0.007294652,198.1426,0,0,1,0,1,0,0,1,0,0,11,988.713
10,1,0,0.128478462,117.944,0,0,1,1,0,0,1,0,0,0,28,239.688
5.75,0,1,0.075107656,112.8176,1,0,0,0,0,1,0,1,0,0,26,1374.2112
6.215,0,1,0.049381406,226.8062,0,1,0,0,0,1,0,0,0,1,28,4739.8302
11.35,0,1,0.045165796,100.0016,0,1,0,0,0,1,0,0,1,0,4,1012.016
11.1,0,1,0.09415375,165.7526,0,0,1,1,0,0,1,0,0,0,28,657.8104
14,1,0,0.028907832,130.431,0,1,0,1,0,0,0,1,0,0,14,778.986
19.75,0,1,0.018059621,179.766,0,0,1,0,1,0,0,1,0,0,11,2336.958
6.525,1,0,0.090436094,85.0882,0,1,0,1,0,0,0,1,0,0,14,2233.0932
10.3,1,0,0.146399712,103.9648,0,1,0,1,0,0,0,1,0,0,14,1661.8368
5.78,0,1,0.074264356,264.7568,0,1,0,1,0,0,0,1,0,0,14,4745.8224
11.85,0,1,0.050186726,164.1526,0,0,1,0,1,0,0,1,0,0,11,3124.5994
16.35,1,0,0.020631654,50.1324,0,1,0,0,0,1,0,0,1,0,4,467.3916
17.6,1,0,0.01561108,182.5976,0,1,0,0,0,1,0,0,0,1,28,5070.7328
10.5,1,0,0.041395445,37.6164,0,0,1,1,0,0,0,1,0,0,16,540.6296
19,0,1,0.097313129,48.0718,0,0,1,1,0,0,0,1,0,0,16,992.7078
14.6,1,0,0.059582996,238.8538,0,1,0,1,0,0,0,1,0,0,14,6008.845
15.6,0,1,0.098663652,62.9194,0,1,0,0,0,1,0,0,0,1,28,2105.2596
4.615,0,1,0.101338651,232.63,0,1,0,0,0,1,0,0,0,1,28,5359.69
18.75,1,0,0.052146456,104.628,0,0,1,0,1,0,0,1,0,0,11,745.696
5.26,0,1,0.041764487,161.8868,0,0,1,0,1,0,0,1,0,0,9,3275.736
18.25,1,0,0.054344186,140.2154,0,0,1,0,1,0,0,1,0,0,11,1701.7848
10.3,1,0,0.078362484,177.937,0,1,0,0,0,1,0,0,0,1,28,6704.606
15.1,1,0,0.052339069,242.7512,0,0,1,1,0,0,0,1,0,0,16,4119.9704
15.5,0,1,0.042464962,81.5934,0,0,1,0,0,1,1,0,0,0,15,327.5736
13.65,1,0,0.065732883,45.7402,0,1,0,1,0,0,0,1,0,0,14,780.9834
16.1,1,0,0.023625114,189.3846,0,0,1,0,1,0,0,1,0,0,11,3630.6074
5.175,0,1,0.051643608,107.3622,0,0,1,1,0,0,1,0,0,0,28,317.5866
12.85,1,0,0.165694219,39.7164,0,0,1,0,0,1,1,0,0,0,15,231.6984
9.5,1,0,0.041878397,32.99,0,0,1,0,1,0,0,1,0,0,9,133.16
13.8,1,0,0.058091482,245.1802,0,0,1,0,1,0,0,1,0,0,9,5650.6446
5.78,0,1,0.0773,263.7568,0,0,1,0,1,0,0,1,0,0,6,2636.568
19.7,1,0,0.026903714,96.0726,0,0,1,0,1,0,0,1,0,0,11,1272.3438
14.65,1,0,0.0813,161.5552,0,0,1,0,0,1,1,0,0,0,15,324.9104
6.67,0,1,0.150554711,130.0626,0,0,1,0,0,1,1,0,0,0,15,131.1626
6.11,0,1,0.0916,131.2968,0,0,1,0,0,1,1,0,0,0,15,260.9936
13.65,0,1,0.134975628,260.0936,0,0,1,0,0,1,1,0,0,0,15,260.9936
17.2,1,0,0.15616879,160.6578,1,0,0,0,0,1,0,1,0,0,26,3690.5294
6.32,1,0,0.011,40.2822,0,0,1,0,1,0,0,1,0,0,9,1139.1838
4.88,0,1,0.133700752,52.9298,0,1,0,1,0,0,0,1,0,0,14,1995.4026
5.425,0,1,0.115119905,88.3514,0,0,1,0,1,0,0,1,0,0,6,1416.8224
15.85,0,1,0.110030997,37.2506,0,0,1,1,0,0,0,1,0,0,16,265.6542
7.5,1,0,0.051038045,121.7072,0,0,1,0,1,0,0,1,0,0,6,3552.7088
12.65,1,0,0.062837968,161.5578,1,0,0,0,0,1,0,1,0,0,26,2406.867
9.06,1,0,0.017116983,211.956,0,0,1,1,0,0,1,0,0,0,28,213.056
20.75,1,0,0.024129332,124.173,1,0,0,0,0,1,0,1,0,0,26,2956.152
8.93,1,0,0.049754975,152.134,0,0,1,1,0,0,1,0,0,0,28,153.134
9,1,0,0.0772,79.7644,0,0,1,0,1,0,0,1,0,0,9,1649.8524
16.7,1,0,0.101561568,181.9292,0,1,0,0,0,1,0,0,0,1,28,3101.2964
6.36,1,0,0.005949644,165.6526,0,1,0,0,0,1,0,0,0,1,28,4769.1254
5.365,0,1,0.13956116,170.4764,0,1,0,0,0,1,0,0,0,1,28,3435.528
14.1,1,0,0.126035694,86.4198,0,0,1,0,1,0,0,1,0,0,11,1133.8574
7.55,1,0,0.027164679,152.334,0,0,1,0,1,0,0,1,0,0,9,2603.278
13,1,0,0.099325278,45.406,0,0,1,1,0,0,0,1,0,0,16,605.878
9.3,1,0,0.04357366,192.8846,0,1,0,0,0,1,0,0,0,1,28,2293.0152
17.6,0,1,0.082741482,118.7782,0,0,1,1,0,0,1,0,0,0,28,119.1782
12.3,0,1,0.064565202,92.9804,1,0,0,0,0,1,0,1,0,0,26,1929.4884
7.05,1,0,0.084554569,109.8912,0,1,0,0,0,1,0,0,0,1,28,2074.6328
11.8,1,0,0.058451805,79.9618,0,1,0,0,0,1,0,0,0,1,28,241.6854
17.25,1,0,0.113748685,251.3724,0,0,1,0,1,0,0,1,0,0,11,6795.1548
15.85,1,0,0.020603511,42.7112,0,0,1,0,1,0,0,1,0,0,6,639.168
18.85,1,0,0.052044976,192.1846,0,0,1,0,1,0,0,1,0,0,9,3248.4382
16.35,0,1,0.062764429,227.6062,0,0,1,0,1,0,0,1,0,0,6,7222.5984
14.1,1,0,0.087977262,229.0668,0,0,1,0,1,0,0,1,0,0,9,3225.1352
7.905,1,0,0.010010425,249.0408,0,0,1,0,1,0,0,1,0,0,9,3755.112
12,1,0,0.033946163,179.3976,1,0,0,0,0,1,0,1,0,0,26,3440.8544
12.15,0,1,0.058414678,163.4552,0,0,1,0,1,0,0,1,0,0,9,974.7312
10.1,1,0,0.027106459,75.367,0,1,0,1,0,0,0,1,0,0,14,535.969
17.5,1,0,0.027022883,262.491,0,0,1,0,1,0,0,1,0,0,6,5259.82
18.35,1,0,0.058153409,152.034,0,0,1,1,0,0,1,0,0,0,28,306.268
17.1,1,0,0.128937661,112.3886,0,1,0,0,0,1,0,0,1,0,4,1779.0176
7.785,1,0,0.088846306,61.451,0,1,0,1,0,0,0,1,0,0,14,759.012
11.8,0,1,0.09357779,125.9704,1,0,0,0,0,1,0,1,0,0,26,1877.556
13.15,0,1,0.165694678,171.8764,0,0,1,0,1,0,0,1,0,0,11,3779.0808
6.4,1,0,0.148392623,41.5796,0,0,1,1,0,0,1,0,0,0,28,41.2796
8.5,1,0,0.098438394,51.1324,0,0,1,0,1,0,0,1,0,0,6,259.662
8.645,1,0,0.143303291,96.341,1,0,0,0,0,1,0,1,0,0,26,193.082
17.6,0,1,0.076276208,110.9202,0,0,1,0,1,0,0,1,0,0,11,1687.803
9.1,1,0,0.175103435,127.5362,0,0,1,0,1,0,0,1,0,0,6,4655.9394
12.8,0,1,0.023511371,225.9404,1,0,0,0,0,1,0,1,0,0,26,4950.8888
7.63,1,0,0.06105276,95.4436,0,0,1,0,1,0,0,1,0,0,9,1418.154
9.285,0,1,0.049559042,246.4144,0,0,1,0,1,0,0,1,0,0,6,1225.072
13.6,0,1,0.119418124,231.03,0,0,1,0,1,0,0,1,0,0,11,5359.69
8.895,1,0,0.072545601,176.237,0,0,1,0,1,0,0,1,0,0,11,1764.37
16.35,1,0,0.090486828,195.211,1,0,0,0,0,1,0,1,0,0,26,2553.343
17.6,1,0,0.056245075,43.3454,1,0,0,0,0,1,0,1,0,0,26,1006.6896
7.975,1,0,0.014618973,85.225,1,0,0,0,0,1,0,1,0,0,26,1081.925
15.85,1,0,0.043479126,36.7164,0,0,1,0,1,0,0,1,0,0,6,308.9312
15.7,1,0,0.045166237,178.666,1,0,0,0,0,1,0,1,0,0,26,2516.724
8.985,0,1,0.057827101,128.831,0,0,1,1,0,0,0,1,0,0,16,1428.141
20.35,1,0,0.089394766,260.1594,1,0,0,0,0,1,0,1,0,0,26,2093.2752
6.59,1,0,0.10550944,85.6908,1,0,0,0,0,1,0,1,0,0,26,1929.4884
19.85,1,0,0.005234153,264.0884,0,0,1,0,1,0,0,1,0,0,9,5829.7448
16.85,1,0,0.036390174,91.4488,0,0,1,1,0,0,0,1,0,0,16,2082.6224
19.35,1,0,0.03292824,173.1738,0,1,0,0,0,1,0,0,0,1,28,7298.4996
16.75,1,0,0.081252534,256.4988,1,0,0,0,0,1,0,1,0,0,26,7452.9652
17.6,0,1,0.076552407,110.5202,0,0,1,0,1,0,0,1,0,0,6,450.0808
7.905,1,0,0.016758569,250.4408,0,0,1,0,0,1,1,0,0,0,15,500.6816
17.85,1,0,0.044248175,126.202,0,1,0,0,0,1,0,0,0,1,28,3668.558
7.785,0,1,0.038288087,103.1964,0,1,0,0,0,1,0,0,1,0,4,736.3748
7.825,1,0,0.186032678,253.0698,0,0,1,0,1,0,0,1,0,0,9,6088.0752
9,1,0,0.031867464,101.0016,0,1,0,0,0,1,0,0,0,1,28,2125.2336
20.75,1,0,0.021370201,153.0024,0,0,1,0,1,0,0,1,0,0,6,2277.036
11.1,1,0,0.193772568,190.3846,0,0,1,1,0,0,1,0,0,0,28,573.2538
6.26,0,1,0.009866049,151.1366,0,0,1,0,1,0,0,1,0,0,9,2267.049
18.2,1,0,0.082551042,147.3734,0,0,1,0,0,1,1,0,0,0,15,296.9468
13,1,0,0.099729888,46.306,0,1,0,0,0,1,0,0,1,0,4,559.272
20.25,0,1,0.018801549,222.1772,0,0,1,0,1,0,0,1,0,0,9,5559.43
8.695,1,0,0.119721451,95.5094,0,1,0,1,0,0,0,1,0,0,14,1237.7222
7.27,1,0,0.071222087,113.5518,0,0,1,0,1,0,0,1,0,0,11,569.259
10.695,0,1,0.060371962,174.0712,0,1,0,0,0,1,0,0,0,1,28,3866.9664
12.85,1,0,0.033287541,198.4768,0,0,1,0,1,0,0,1,0,0,11,1379.5376
7.075,1,0,0.05858462,142.7128,0,1,0,0,0,1,0,0,1,0,4,1869.5664
20.2,0,1,0.11679292,196.211,0,1,0,0,0,1,0,0,0,1,28,5499.508
