Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDZ40,OUT019,-1005.7612
FDS46,OUT027,3396.9945
DRD24,OUT045,2232.9535
FDV45,OUT017,3138.3751
FDL26,OUT045,2460.8789
FDA56,OUT018,1698.3131
FDN27,OUT046,1893.0167
FDM20,OUT049,3965.08
FDO16,OUT017,1489.0949
FDL03,OUT035,3202.3161
FDE58,OUT046,1872.3039
FDI02,OUT027,3287.7835
NCC55,OUT019,-1248.1316
FDR03,OUT018,3037.9824
FDB14,OUT017,1675.5481
FDR45,OUT013,3836.6465
NCN07,OUT017,2220.279
FDM51,OUT019,-196.9384
FDT52,OUT027,5366.4362
FDL26,OUT046,2448.4499
NCZ42,OUT046,3777.921
DRI47,OUT019,428.1356
FDW40,OUT013,2320.4367
FDN34,OUT046,2738.7014
FDS01,OUT035,2884.2541
NCG55,OUT045,1851.5622
FDC11,OUT035,1444.0114
FDX35,OUT018,3344.3288
NCB06,OUT046,2541.4937
FDR09,OUT019,2187.2828
FDC53,OUT017,1710.0836
FDY45,OUT013,4060.8661
FDA22,OUT010,745.4565
FDE02,OUT035,1570.2643
FDW21,OUT045,1669.9886
FDV34,OUT046,1255.9992
FDS59,OUT049,1900.8377
NCW17,OUT017,2190.0453
NCK54,OUT046,1879.8422
FDG17,OUT019,2009.5404
FDG35,OUT017,2947.3353
FDD08,OUT010,-1272.0494
NCO07,OUT017,3487.758
FDJ10,OUT010,373.5099
FDW36,OUT017,1811.3841
FDW21,OUT010,-226.4554
FDY19,OUT017,2032.3111
DRE03,OUT013,820.342
NCC55,OUT049,740.6827
FDH52,OUT010,-822.3637
FDO09,OUT017,4349.4272
FDU43,OUT045,3817.5304
FDX09,OUT010,853.3831
FDH40,OUT019,-513.3285
FDW58,OUT017,1827.6449
FDC47,OUT017,3716.8317
NCR41,OUT035,1577.4296
DRG49,OUT035,3907.5433
FDC52,OUT027,3932.1658
FDY13,OUT046,1215.8828
FDY35,OUT013,826.1619
FDI35,OUT017,3024.0194
NCU18,OUT049,2349.7026
FDY33,OUT018,2284.4782
FDC15,OUT027,3929.1084
FDU01,OUT049,3111.6473
NCU42,OUT046,2696.3662
NCV29,OUT018,2545.8425
NCY30,OUT017,3044.8428
FDQ46,OUT049,1884.0256
FDG58,OUT027,3940.373
FDK33,OUT017,3520.294
NCD07,OUT045,1839.3946
NCX29,OUT027,3742.3686
NCT42,OUT013,2396.2715
DRN59,OUT035,813.2284
FDI44,OUT035,1321.7018
FDA45,OUT049,2902.5784
FDP31,OUT045,1092.5819
FDY01,OUT046,1871.6151
FDT09,OUT018,1901.4589
DRH03,OUT027,2980.8336
FDA36,OUT018,2689.6417
NCF31,OUT017,2580.3754
FDG14,OUT049,2555.4434
FDG28,OUT027,5375.4025
FDU14,OUT049,4046.315
FDY47,OUT019,242.338
FDI56,OUT049,1547.7095
DRD01,OUT013,1010.4404
FDM22,OUT046,957.9152
FDH33,OUT013,725.6839
DRZ24,OUT013,1919.6508
NCQ38,OUT046,1696.5403
FDO16,OUT027,2817.0314
FDU07,OUT027,3823.3146
NCB07,OUT013,3104.7106
FDU48,OUT045,2096.0312
NCM43,OUT045,2616.6633
FDR31,OUT010,433.3882
DRK49,OUT018,417.7159
NCI30,OUT010,1940.7225
DRD60,OUT017,3015.5194
NCG19,OUT046,3695.4235
FDH12,OUT035,1729.2666
FDM32,OUT035,1534.5206
FDM27,OUT035,2560.9734
NCU53,OUT027,4084.4299
NCQ18,OUT046,1578.0173
FDS10,OUT013,2873.7397
FDB33,OUT027,3959.8599
FDI12,OUT013,1460.602
NCW42,OUT013,3527.731
NCC06,OUT018,1781.8744
FDW02,OUT017,2205.9977
NCD43,OUT017,1823.1798
FDM57,OUT018,1112.9507
FDA58,OUT017,3869.5712
FDK56,OUT046,2917.8735
FDP52,OUT045,3688.4754
FDW20,OUT018,1709.9244
FDS52,OUT049,1720.7073
NCT29,OUT018,1637.4998
NCL54,OUT013,2824.8522
FDC05,OUT045,3168.3254
FDF34,OUT035,3223.3939
FDP03,OUT027,3488.3758
FDD32,OUT010,-516.03
FDZ10,OUT045,2025.8078
FDZ40,OUT035,945.9058
FDD51,OUT018,442.2972
NCY30,OUT019,955.4619
FDP58,OUT017,3568.428
FDV49,OUT017,4312.127
FDY24,OUT019,-1010.2727
NCO55,OUT017,1853.3308
FDR13,OUT017,2064.3429
FDS51,OUT017,1161.9542
FDP26,OUT045,1652.6062
NCB54,OUT027,3513.8596
FDF32,OUT017,3258.0813
FDN31,OUT018,2714.6011
DRM48,OUT017,742.1462
FDN20,OUT049,2785.2552
DRL01,OUT046,3726.528
FDV56,OUT049,1877.3625
DRH13,OUT027,3184.2923
FDA03,OUT017,2511.923
FDF47,OUT027,4977.7703
FDX32,OUT046,2372.8073
FDX57,OUT049,1703.2976
NCA30,OUT045,2991.2257
FDO49,OUT013,904.5494
FDL04,OUT019,-233.1354
DRM48,OUT035,669.3386
FDR16,OUT013,3427.6724
NCC19,OUT018,2764.6583
NCE42,OUT045,3713.9584
FDY24,OUT017,1082.6023
FDH19,OUT049,2883.9091
FDJ46,OUT013,2782.5597
FDN45,OUT010,1607.5561
FDY08,OUT035,2307.6453
FDZ37,OUT035,1507.0878
NCT30,OUT045,771.6232
DRY23,OUT018,466.8467
NCZ30,OUT018,1674.0637
FDC44,OUT018,1514.8589
FDB45,OUT035,1735.9181
FDY04,OUT013,2676.0165
FDM27,OUT046,2555.2118
FDZ43,OUT017,3998.1852
FDT39,OUT019,563.0162
NCC06,OUT019,132.2262
FDL15,OUT027,3893.4623
FDL57,OUT017,4249.6401
FDU08,OUT046,1592.1217
FDK40,OUT017,4309.2707
FDQ12,OUT010,1704.9136
FDS48,OUT017,2550.5518
FDP09,OUT045,3344.9733
FDW21,OUT049,1750.7039
FDY25,OUT035,2923.51
DRE13,OUT017,1528.5329
FDV43,OUT019,-1193.0888
FDD22,OUT045,1769.9268
FDM46,OUT019,-443.8534
NCO30,OUT010,1024.5143
FDM25,OUT046,2805.3591
NCN41,OUT049,2061.302
FDU24,OUT045,1526.1422
FDZ50,OUT046,2957.2227
FDP45,OUT013,4052.02
NCM54,OUT045,2004.1141
FDW10,OUT019,873.5774
FDP20,OUT017,2184.8559
FDK32,OUT046,2454.3899
FDN52,OUT049,1549.5969
FDM58,OUT045,1818.6396
FDZ46,OUT027,3223.4891
NCA18,OUT018,1597.1593
FDD35,OUT046,1952.623
NCK31,OUT035,875.9651
FDI40,OUT027,3103.6569
FDT50,OUT019,-295.6196
NCT06,OUT046,2618.5272
FDT31,OUT035,3033.5999
FDT45,OUT049,974.1447
FDT13,OUT045,2959.2968
FDO50,OUT045,1450.9515
NCU18,OUT010,324.4695
NCR54,OUT049,3178.0704
NCO18,OUT018,2554.8422
FDU09,OUT045,964.6455
FDT13,OUT018,2700.1087
FDE09,OUT046,1803.658
NCK53,OUT019,-270.5181
FDG45,OUT049,3460.0524
DRH15,OUT035,790.5872
FDO21,OUT019,1704.1499
FDD14,OUT027,4346.3311
FDC09,OUT046,1706.5301
FDH45,OUT027,2216.4395
FDV32,OUT046,1056.0358
FDG12,OUT035,2015.4626
FDS32,OUT013,2319.9805
NCL55,OUT018,3682.1102
DRE01,OUT035,3869.1069
DRE15,OUT049,1354.0856
NCL42,OUT045,3887.2799
FDP31,OUT013,1108.2407
FDN33,OUT018,1267.6817
FDZ59,OUT046,2657.804
FDE45,OUT010,912.5164
FDJ07,OUT013,1932.5882
FDQ45,OUT018,2705.3229
FDM33,OUT027,4906.5696
FDO15,OUT010,-622.3776
FDM46,OUT013,1500.4594
FDR03,OUT045,3301.8362
FDY49,OUT018,2424.3877
FDQ60,OUT045,1929.1583
FDW10,OUT049,2887.5838
FDO51,OUT049,896.4014
FDJ40,OUT018,1519.8251
FDS20,OUT018,2610.5852
FDU45,OUT013,1887.1196
FDV02,OUT035,2736.3854
FDN09,OUT046,3825.5549
NCM55,OUT027,4405.0434
FDN23,OUT018,2072.6084
FDY31,OUT010,395.2232
FDW03,OUT010,-148.0404
FDD14,OUT046,2882.6825
FDV23,OUT017,2138.4709
DRI03,OUT045,2780.5957
FDN13,OUT035,1627.4581
FDF45,OUT027,2491.9955
FDU46,OUT035,1521.827
FDB57,OUT049,3668.2561
FDV12,OUT049,1748.8182
FDQ58,OUT013,2441.7027
NCA18,OUT017,1996.5658
FDH52,OUT049,1155.7687
FDM24,OUT018,2157.3272
NCP43,OUT027,4326.2285
NCO18,OUT019,907.0976
FDM32,OUT017,1618.3314
NCL07,OUT017,787.4468
FDK03,OUT013,4070.8077
FDP59,OUT017,1835.0652
FDQ24,OUT049,4046.6835
FDQ16,OUT018,1482.5333
FDU44,OUT013,2632.8188
FDH28,OUT010,-1232.9377
FDV28,OUT019,-1280.3298
FDM22,OUT045,931.8096
FDR56,OUT046,3144.655
FDV39,OUT049,3221.5405
FDU37,OUT019,-563.2357
FDQ11,OUT010,2181.3149
FDX02,OUT045,3518.5219
NCS42,OUT018,1212.5765
FDY57,OUT027,3013.4337
FDB21,OUT049,3894.446
FDE28,OUT017,3805.8512
FDQ55,OUT017,2015.1507
FDA48,OUT049,3601.2154
FDZ19,OUT045,2745.7681
NCC43,OUT045,3960.5793
NCV18,OUT046,1315.3816
NCA42,OUT018,2254.9791
FDY45,OUT046,4046.0852
NCC30,OUT045,2828.5373
FDM57,OUT013,1457.8171
FDL09,OUT010,755.5514
FDB09,OUT027,3443.5854
FDT44,OUT035,1940.8845
NCT06,OUT027,4061.8143
FDX26,OUT049,2995.2509
FDK32,OUT013,2516.6675
DRA12,OUT046,2277.6007
FDO46,OUT010,1121.821
FDE52,OUT013,1486.557
NCH42,OUT045,3626.1436
FDV08,OUT035,760.0859
FDB47,OUT018,3049.6345
FDC28,OUT010,-147.3732
FDD22,OUT046,1811.9879
FDS07,OUT027,3286.4403
DRI13,OUT045,3423.265
FDG32,OUT018,3220.6243
FDU14,OUT017,4091.8065
FDD28,OUT019,-934.6442
NCP41,OUT017,1905.1898
FDS08,OUT049,2872.135
FDX47,OUT045,2546.7535
FDC53,OUT019,-270.9135
FDQ19,OUT035,3913.5128
FDL14,OUT045,2506.3039
FDM33,OUT019,1581.1173
FDA51,OUT045,1831.6477
FDZ27,OUT018,538.4417
FDT04,OUT046,682.5651
DRC13,OUT049,2146.0867
FDR16,OUT027,4885.0076
FDQ03,OUT027,5225.2064
FDE38,OUT035,2714.0771
DRH23,OUT027,2366.7408
FDT11,OUT019,1132.4359
FDD09,OUT035,2904.2247
FDR40,OUT045,1375.902
FDX07,OUT017,3106.1423
FDR07,OUT035,1606.0748
FDA51,OUT017,1999.7902
FDT59,OUT019,1747.5475
FDF20,OUT017,3232.8461
FDR13,OUT045,1883.6498
FDY26,OUT049,3476.7642
FDW04,OUT017,2263.6856
FDK52,OUT017,3719.1688
FDN60,OUT049,2586.4136
FDM09,OUT019,850.1212
FDP46,OUT049,1512.1726
FDB50,OUT019,-651.8945
NCQ29,OUT049,4167.0623
FDP16,OUT027,5324.0295
FDX33,OUT018,2321.3032
FDP07,OUT010,1176.475
FDN22,OUT046,3994.8305
FDF39,OUT049,4280.1166
FDS21,OUT017,1195.4951
NCM42,OUT013,1755.1027
FDK50,OUT019,703.6935
DRF13,OUT027,3793.6049
FDH35,OUT018,2324.9755
FDP60,OUT018,1322.6127
DRJ49,OUT027,3535.4706
NCT42,OUT019,469.0505
FDE38,OUT049,2760.1594
FDI04,OUT049,3287.9261
NCH54,OUT045,2493.5181
FDT56,OUT049,1104.6742
DRD15,OUT018,3390.4054
FDV58,OUT013,3086.5023
FDP21,OUT049,3117.3617
FDH05,OUT013,3749.3414
FDR10,OUT027,4025.0266
NCP06,OUT045,2368.6845
FDF33,OUT049,1811.7877
DRK37,OUT013,3017.2559
DRH49,OUT045,1357.3371
FDT58,OUT013,2682.1416
FDD41,OUT018,1442.758
FDP40,OUT018,1547.056
FDM51,OUT027,3141.0135
FDO45,OUT010,-465.9545
FDW33,OUT010,-224.27
FDY24,OUT045,919.1152
FDB10,OUT010,1825.9342
FDM40,OUT035,2285.417
NCI06,OUT017,3008.7217
FDW12,OUT019,442.1434
FDX48,OUT027,3966.7977
NCW05,OUT027,3150.0157
FDX27,OUT017,1712.6811
DRM37,OUT045,3117.427
FDA38,OUT045,3805.0379
FDR36,OUT046,711.6615
FDZ45,OUT046,3142.4847
FDG05,OUT017,2703.3825
FDK28,OUT013,4103.8921
FDV47,OUT045,1374.4314
FDN21,OUT045,2533.7271
FDP20,OUT027,3483.2818
FDI35,OUT045,2871.3532
DRY23,OUT013,796.18
FDA56,OUT017,2111.7434
FDB09,OUT013,1998.7407
NCO26,OUT027,3323.5409
FDQ49,OUT018,2265.5897
FDI52,OUT027,3396.945
FDZ44,OUT027,3333.1542
FDZ09,OUT018,2322.8068
FDY03,OUT049,1956.1488
NCG42,OUT017,2217.3167
DRI13,OUT027,4902.3372
FDQ32,OUT013,2090.2108
FDW16,OUT035,1570.7923
FDU27,OUT046,810.7612
FDR28,OUT010,727.829
FDQ49,OUT010,650.9795
FDS37,OUT046,1862.6988
FDW26,OUT018,3246.7656
FDX12,OUT018,3584.3593
NCP06,OUT013,2430.9703
FDW45,OUT010,398.4877
NCN30,OUT049,1627.3075
FDN24,OUT049,962.9656
NCL41,OUT027,2014.8603
FDR02,OUT019,-134.5236
FDD09,OUT010,959.2504
FDS33,OUT010,-472.3469
FDU22,OUT045,1893.545
FDI53,OUT013,2646.0993
DRH01,OUT049,2875.632
FDX32,OUT013,2349.4829
NCP30,OUT018,397.7246
FDB60,OUT045,3094.0794
FDB14,OUT049,1644.1211
NCP02,OUT035,1006.0728
FDJ10,OUT017,2413.5402
FDG34,OUT046,1825.7863
NCB18,OUT017,1562.3195
FDM16,OUT049,1359.2189
FDW25,OUT018,1086.7332
FDB35,OUT010,-398.6593
DRN11,OUT013,2289.5445
FDF41,OUT019,1987.2205
FDH16,OUT045,1412.4236
NCQ50,OUT018,3086.1713
DRH23,OUT018,640.666
DRJ37,OUT013,2444.6132
DRJ24,OUT027,4366.1799
FDY16,OUT035,2999.6847
FDQ27,OUT045,1730.2674
FDZ33,OUT045,2342.0245
FDF29,OUT045,2142.0327
FDA08,OUT049,2740.0263
FDG31,OUT046,1067.9455
FDE34,OUT019,1002.1502
NCR30,OUT027,2646.576
FDV33,OUT035,4175.2568
DRZ24,OUT018,1642.7647
NCL54,OUT035,2795.6386
FDR12,OUT049,2895.0912
NCC54,OUT046,3807.4557
DRN59,OUT013,795.7561
FDX50,OUT019,-139.7966
FDV31,OUT027,4268.5321
NCA29,OUT027,4196.6963
FDW60,OUT049,2959.51
FDX08,OUT017,3038.1444
DRD49,OUT013,3739.5062
FDD33,OUT046,3639.4349
FDW35,OUT013,747.6848
FDJ36,OUT017,1831.0011
FDV51,OUT035,2694.8433
FDW36,OUT046,1706.9993
FDH35,OUT046,2621.5561
NCS30,OUT027,3532.2583
FDN49,OUT017,824.7936
FDL08,OUT018,3604.295
FDI09,OUT013,3855.2707
FDP19,OUT018,1765.4232
FDU21,OUT010,-1308.9941
NCP41,OUT045,1722.9311
FDY10,OUT013,1835.6258
FDP12,OUT018,392.0685
NCN26,OUT049,1960.1689
FDK44,OUT013,2783.8885
FDC28,OUT049,1846.6146
FDJ41,OUT027,5605.3907
NCT29,OUT035,2021.6318
NCH42,OUT019,1711.2111
FDU60,OUT018,2425.6795
FDS02,OUT045,3079.5476
FDC51,OUT046,2026.3752
FDU03,OUT013,2968.369
FDX39,OUT045,3387.9873
NCY05,OUT010,-1296.6119
NCL06,OUT027,5544.4098
FDD32,OUT035,1400.0266
NCN41,OUT045,1951.0078
NCX53,OUT049,2358.9581
FDU57,OUT019,521.8095
FDQ23,OUT046,1675.5656
FDQ52,OUT045,3903.0786
FDC14,OUT045,718.4217
FDY09,OUT035,2858.5027
FDQ28,OUT045,2525.1745
FDV25,OUT046,3492.7106
FDJ07,OUT035,1917.3923
DRB25,OUT049,1796.6121
FDK52,OUT019,1649.9074
FDY52,OUT027,2493.7079
FDB28,OUT046,3122.0571
FDT36,OUT035,650.9768
FDV25,OUT017,3651.5874
NCN07,OUT027,3535.8025
FDC57,OUT017,3252.1579
FDQ03,OUT018,3505.5216
FDU23,OUT017,2799.9484
NCX41,OUT035,3417.5868
NCD06,OUT035,818.6493
FDW08,OUT045,1682.0054
NCU29,OUT017,2456.0244
NCE06,OUT013,2579.9368
FDV52,OUT010,-2.4034
FDB02,OUT017,2997.9924
NCR18,OUT045,714.2237
FDK16,OUT049,1606.2035
NCQ29,OUT010,2143.1392
FDZ01,OUT019,-171.9365
FDW27,OUT035,2576.9667
FDD17,OUT018,3481.206
FDW39,OUT013,2885.7743
DRH59,OUT045,1169.2904
FDS52,OUT013,1674.2406
FDU40,OUT027,4544.1028
NCF54,OUT013,2785.8481
FDH46,OUT045,1694.0626
NCP14,OUT049,1750.0697
FDH50,OUT049,3065.5154
DRF15,OUT010,529.4965
FDV27,OUT027,2916.888
NCJ06,OUT049,2022.9044
FDN02,OUT018,2968.378
FDQ51,OUT049,922.596
FDQ07,OUT017,3704.1283
FDS45,OUT049,1841.3721
NCJ06,OUT045,1929.734
FDD36,OUT035,1931.651
FDY25,OUT045,2885.7649
FDU52,OUT046,2460.5216
DRK47,OUT017,3724.5765
NCL30,OUT017,2192.448
FDN22,OUT035,4055.9202
NCF30,OUT027,3452.2477
FDK03,OUT035,4136.5449
FDT45,OUT017,1049.1923
NCC54,OUT027,5222.7816
FDP08,OUT018,2854.6828
FDU44,OUT046,2642.1411
DRG39,OUT035,924.8645
FDU32,OUT049,2051.8997
FDY27,OUT049,2932.3845
NCP54,OUT013,2001.1008
NCZ41,OUT049,2114.9092
DRL49,OUT013,2314.4993
FDI05,OUT018,1000.6662
FDY56,OUT045,3615.0349
DRC13,OUT013,2082.5107
NCV29,OUT017,2993.5125
FDR24,OUT049,1583.0813
FDZ34,OUT018,2748.6212
FDP37,OUT035,2052.0068
FDX08,OUT027,4324.0697
FDS57,OUT045,2231.4393
NCG18,OUT049,1748.9443
FDK25,OUT018,2434.7295
FDH53,OUT049,1466.9364
DRI59,OUT018,3247.9551
FDA52,OUT046,2845.9117
FDT20,OUT010,-1266.7759
FDE36,OUT019,736.3395
FDI24,OUT017,2907.0961
FDB28,OUT018,2867.4765
FDV11,OUT017,2991.6543
FDP01,OUT046,2499.8594
FDD34,OUT027,4026.2975
FDJ50,OUT027,2318.8419
FDZ44,OUT013,1930.3513
DRO59,OUT035,1280.4987
DRB48,OUT045,706.734
FDR21,OUT018,2500.8668
NCE42,OUT010,1801.9537
FDO23,OUT046,1486.6571
NCE30,OUT018,3071.1267
FDQ22,OUT035,692.0927
FDY01,OUT045,1863.7697
FDS08,OUT017,2959.6352
FDG28,OUT018,3666.6646
FDQ51,OUT018,582.6918
FDB05,OUT017,4069.499
FDO56,OUT049,2016.1024
FDE02,OUT018,1191.3837
FDN45,OUT017,3653.8534
FDS09,OUT013,890.3021
NCA54,OUT018,2601.7369
FDP09,OUT010,1451.6474
FDC53,OUT045,1590.0816
NCM55,OUT017,3094.1211
FDL09,OUT018,2442.6993
FDA11,OUT019,-394.905
FDA50,OUT045,1504.5783
FDC23,OUT017,2985.2602
FDE22,OUT049,2626.3512
FDD23,OUT046,3011.9218
NCA29,OUT049,2841.9154
FDK38,OUT046,2339.7868
DRC13,OUT046,2000.0007
NCP43,OUT049,2941.869
FDX28,OUT049,1685.955
FDF08,OUT049,1596.6125
FDZ33,OUT046,2366.9666
FDD10,OUT049,2981.9583
FDO58,OUT017,2723.8691
FDI50,OUT017,3830.3636
FDO58,OUT045,2622.5679
FDX08,OUT013,2905.7142
NCK17,OUT010,-1226.1963
FDF39,OUT035,4238.5476
FDU45,OUT010,-65.5927
NCJ18,OUT018,1582.8546
DRC27,OUT019,1982.1078
DRC25,OUT035,1428.2625
FDU59,OUT035,2592.7975
FDU28,OUT035,3094.9713
NCP30,OUT046,692.7264
FDB39,OUT018,635.2866
FDE41,OUT013,1476.7206
DRH11,OUT010,-997.3462
FDA58,OUT045,3704.4977
FDU50,OUT046,1892.5332
FDM34,OUT013,2097.3083
FDM44,OUT027,3093.7615
FDR39,OUT045,2895.1344
FDM25,OUT045,2824.0194
FDQ49,OUT049,2638.1923
DRH25,OUT018,596.6776
FDM09,OUT027,4207.9922
FDL44,OUT019,673.6621
NCR42,OUT018,281.3377
DRL59,OUT046,877.8212
FDX43,OUT013,2697.297
DRK47,OUT010,1657.4455
FDU48,OUT018,1824.3756
FDY12,OUT045,855.0528
NCN43,OUT018,1691.4697
NCM55,OUT018,2637.1255
FDQ21,OUT027,3425.9137
FDX13,OUT035,4008.9052
NCK30,OUT027,5444.0381
FDG20,OUT049,2915.6983
DRG27,OUT017,804.7605
FDY14,OUT018,3885.2037
FDP59,OUT035,1751.2961
FDU60,OUT017,2875.3998
NCC18,OUT019,788.2352
DRJ39,OUT017,3591.4611
FDS07,OUT049,1905.1058
FDM08,OUT027,5016.4691
FDP51,OUT045,1959.0309
FDU16,OUT035,1427.5524
FDH12,OUT013,1733.5756
DRE48,OUT010,1193.7176
NCL42,OUT027,5307.2305
FDR21,OUT045,2802.1016
NCW29,OUT035,2151.4723
FDO11,OUT013,4038.5324
NCM31,OUT049,2340.86
FDV35,OUT019,543.6662
FDF58,OUT017,1160.7414
NCE43,OUT049,2771.2645
FDA02,OUT035,2396.4648
DRL37,OUT010,-1174.792
